,APFC,MDPFC,RDPFC,LDPFC,IFC,RBA,LBA,PMC-SMA,M1,V2-V3,V1
APFC,,,,,,,,,,,
MDPFC,,,,,,,,,,,
RDPFC,,,,,,,,,,,
LDPFC,,,,,,,,,,,
IFC,,,,,,,,,,,
RBA,,,,,,,,,,,
LBA,,,,,,,,,,,
PMC-SMA,,,,,,,,,,,
M1,,,,,,,,,,,
V2-V3,,,,,,,,,,,
V1,,,,,,,,,,,
